0.0,20.0,29.0
9.0,26.0,27.0
12.0,15.0,26.0
13.0,17.0,24.0
9.0,12.0,22.0
10.0,13.0,23.0
11.0,14.0,21.0
11.0,14.0,19.0
11.0,13.0,20.0
12.0,14.0,21.0
12.0,17.0,25.0
13.0,17.0,23.0
17.0,19.0,26.0
17.0,18.0,26.0
17.0,19.0,28.0
15.0,16.0,28.0
16.0,20.0,29.0
16.0,20.0,29.0
20.0,21.0,30.0
19.0,20.0,30.0
20.0,21.0,30.0
19.0,21.0,29.0
20.0,20.0,29.0
19.0,20.0,30.0
20.0,20.0,33.0
20.0,20.0,32.0
20.0,22.0,35.0
20.0,21.0,33.0
21.0,23.0,35.0
20.0,22.0,31.0
22.0,23.0,35.0
21.0,22.0,34.0
22.0,23.0,39.0
22.0,22.0,36.0
22.0,23.0,39.0
21.0,22.0,36.0
22.0,23.0,39.0
22.0,22.0,37.0
22.0,23.0,39.0
22.0,22.0,38.0
22.0,23.0,39.0
22.0,22.0,39.0
22.0,23.0,40.0
22.0,23.0,40.0
23.0,23.0,40.0
23.0,23.0,40.0
23.0,23.0,40.0
23.0,23.0,40.0
23.0,23.0,40.0
23.0,23.0,39.0
23.0,23.0,39.0
